14 1623 1723
68 1632 1742
33 1646 1817
45 1787 1902
57 2214 1977
72 2374 1944
76 2356 1568
80 2221 1578
78 2028 1736
31 2050 1833
99 1994 1852
69 2223 990
61 2834 1512
74 3007 1524
7 2927 1777
75 3220 1945
67 3248 1906
36 3373 1902
29 3786 1862
58 3805 1619
22 3918 1217
42 3535 1112
23 3332 1049
89 3642 699
70 3868 697
49 3935 540
98 3946 459
97 3766 154
32 3538 125
94 3503 301
17 3600 459
90 3599 514
11 3452 637
38 3060 781
66 3023 871
8 2982 949
46 2740 1101
52 2901 920
81 2944 632
34 2993 624
50 3062 329
1 2995 264
13 2656 128
79 2581 121
88 2592 248
27 2658 360
24 2597 349
41 2347 388
84 2334 523
15 2067 694
73 1962 389
39 1828 456
71 1541 354
4 1346 408
93 1272 246
44 1203 385
60 1017 333
62 634 294
35 547 25
30 264 36
19 366 339
37 460 267
51 387 199
100 278 165
2 202 233
48 47 363
92 240 619
55 401 980
87 235 1059
26 241 1069
10 464 1302
9 555 1121
20 778 1282
25 811 1295
18 1109 1196
85 1264 1090
59 1179 969
6 1009 1001
40 1021 962
83 997 942
3 981 848
5 781 670
53 931 512
64 1393 859
43 1529 581
77 1604 706
91 1766 678
54 1766 692
63 1819 814
16 1725 927
96 1677 1238
86 1699 1294
65 1768 1578
82 1082 1561
47 555 1753
21 386 1616
95 80 1533
56 149 1629
28 394 1944
12 571 1982
14 1623 1723


23942.9
