17 40 35
43 44 33
14 64 8
20 62 1
30 55 3
44 52 18
68 48 19
9 30 23
27 30 9
46 25 5
25 6 8
45 12 13
39 8 19
40 20 18
61 17 22
62 5 45
54 10 55
48 5 67
67 10 68
11 7 76
64 9 100
65 17 82
51 25 76
56 16 74
33 20 55
34 27 43
21 28 43
12 29 51
60 29 60
52 37 64
10 42 67
5 48 67
53 56 63
66 74 67
50 41 76
58 48 82
37 48 83
47 58 85
16 57 91
1 64 96
36 67 99
23 67 88
13 78 92
29 78 94
70 84 94
35 95 86
69 83 86
31 82 88
38 75 81
59 81 76
22 76 73
63 79 70
57 89 60
15 95 57
24 93 54
19 92 34
55 98 7
49 90 9
26 87 18
8 79 17
28 77 13
3 69 23
32 73 28
7 81 34
2 80 39
4 72 42
18 68 40
42 63 36
6 58 43
41 54 38
17 40 35


732.239
